epoch,train_loss,test_acc,lr,elapsed_s
0,2.3300114224624635,0.3063,0.1,128.4880952835083
1,1.6546758779907227,0.4541,0.1,354.46109318733215
2,1.4376799291229247,0.4613,0.1,482.1806130409241
3,1.2856726068115234,0.5202,0.1,879.6981191635132
4,1.1571332092666626,0.5834,0.1,1010.1198079586029
5,1.026186908226013,0.6593,0.1,1137.1717202663422
6,0.9206489498519898,0.6294,0.1,1263.4528460502625
7,0.8231521025085449,0.6813,0.1,1391.6813502311707
8,0.7504084398269654,0.7214,0.1,1520.6006922721863
9,0.7027784356117248,0.7102,0.1,1649.0449919700623
10,0.663749646949768,0.7457,0.1,1777.346024274826
11,0.6236473325157166,0.7515,0.1,1947.634292125702
12,0.5914524914741516,0.7203,0.1,6908.747356176376
13,0.5648145945358276,0.737,0.1,7531.333034038544
14,0.5419338291549682,0.7718,0.1,12657.239886045456
15,0.5179461740112304,0.7466,0.1,24325.256201267242
16,0.49943270093917846,0.7452,0.1,41334.06205892563
17,0.48209693563461303,0.7759,0.1,45695.99198627472
18,0.464369926776886,0.7657,0.1,46058.01353311539
19,0.44966790425300596,0.781,0.1,46217.259274959564
20,0.4430553637599945,0.8133,0.1,48798.228258132935
21,0.42483543091773984,0.7725,0.1,51946.15094399452
22,0.41383292587280274,0.7869,0.1,72292.61935400963
23,0.4061336020565033,0.7897,0.1,72510.70755720139
24,0.39594421880722047,0.8095,0.1,72637.41611099243
25,0.38848580772399904,0.8116,0.1,72763.6835141182
26,0.3788417048072815,0.8155,0.1,72887.26226210594
27,0.37354302379608156,0.8,0.1,73008.91170191765
28,0.3602027852535248,0.8071,0.1,73148.23817420006
29,0.3569385648536682,0.7845,0.1,73270.69649910927
30,0.3491293264198303,0.7968,0.1,73386.93970298767
31,0.34723038745880125,0.8302,0.1,73503.71760106087
