epoch,train_loss,test_acc,lr,elapsed_s
0,1.7259973330307006,0.4808,0.1,46.37849402427673
1,1.228227849884033,0.5918,0.1,89.82727909088135
2,0.9939750982284545,0.6074,0.1,133.37911295890808
3,0.8467751915359497,0.7041,0.1,186.3860478401184
4,0.7385842820167542,0.7509,0.1,229.3720989227295
5,0.6501492571830749,0.7155,0.1,270.26278591156006
6,0.604783472442627,0.7588,0.1,312.08890891075134
7,0.562074421787262,0.7789,0.1,476.0876910686493
8,0.5329269619750977,0.7839,0.1,590.5889019966125
9,0.5015419595527649,0.7736,0.1,715.7106091976166
10,0.48086849672317505,0.7884,0.1,871.2160439491272
11,0.45993712324142455,0.7733,0.1,933.5931630134583
12,0.4491286745071411,0.7526,0.1,994.7220540046692
13,0.42880168531417845,0.8034,0.1,1054.935515165329
14,0.41491756643295286,0.8129,0.1,1113.9824299812317
15,0.40244025787353516,0.7425,0.1,1187.2905058860779
16,0.3930861874771118,0.8287,0.1,1268.8918619155884
17,0.38406231702804566,0.8264,0.1,1336.7557308673859
18,0.37979003778457643,0.8342,0.1,1436.7132709026337
19,0.36643503905296326,0.8295,0.1,1534.3723950386047
20,0.3672907778644562,0.8373,0.1,1626.4605407714844
21,0.35037891767501833,0.7893,0.1,1693.6985998153687
22,0.34759718854904176,0.7994,0.1,1735.8608241081238
23,0.34102808435440063,0.8438,0.1,1778.1413009166718
24,0.33525951340675353,0.8178,0.1,1821.1817531585693
25,0.33373894901275636,0.8265,0.1,1863.466556072235
26,0.3204402675819397,0.8402,0.1,1905.7813460826874
27,0.3197136533164978,0.8485,0.1,1948.1722900867462
28,0.31854006704330445,0.8289,0.1,1990.5767841339111
29,0.31209858038902283,0.8541,0.1,2032.8672199249268
30,0.3083736749076843,0.8467,0.1,2075.474706888199
31,0.3057263914966583,0.8059,0.1,2118.514039039612
32,0.30156176145553587,0.8526,0.1,2161.980442047119
33,0.30059922342300416,0.8332,0.1,2207.670536994934
34,0.29525467098236086,0.8514,0.1,2249.214737892151
35,0.2929991292476654,0.8392,0.1,2295.7823600769043
36,0.29084885785102843,0.8116,0.1,2338.4829680919647
37,0.28605258123397825,0.8474,0.1,2381.351149082184
38,0.2843724393939972,0.8614,0.1,2426.453357934952
39,0.28336683423995973,0.8598,0.1,2475.0288360118866
40,0.2782546539974213,0.8368,0.1,2526.575036764145
41,0.27741730083465577,0.8473,0.1,2571.088443040848
42,0.2701664762401581,0.8487,0.1,2613.6853618621826
43,0.26903083713531495,0.8083,0.1,2659.8027930259705
44,0.27045531886577606,0.8614,0.1,2706.710592031479
45,0.2713291459941864,0.8514,0.1,2749.299527168274
46,0.26922723348617555,0.8387,0.1,2796.4074370861053
47,0.2646465372276306,0.819,0.1,2842.484764099121
48,0.2638046389198303,0.8254,0.1,2886.1784381866455
49,0.27133497025489806,0.8413,0.010000000000000002,2936.3668990135193
50,0.17654007066726685,0.9032,0.010000000000000002,2984.1187200546265
51,0.14524013359546661,0.9053,0.010000000000000002,3033.513011932373
52,0.13508551695346832,0.9026,0.010000000000000002,3078.4844069480896
53,0.12691596155405044,0.9026,0.010000000000000002,3122.685178041458
