epoch,layer,grad_norm_mean,grad_norm_var,snr,snr_std,n_steps
0,000_conv1,0.13003055427623603,0.20675080582105232,0.20423758643872256,0.06621974896651528,391
0,001_layer1.0.conv1,0.12472235544404858,0.6753289635517891,0.06621723219572478,0.045046972543391565,391
0,002_layer1.0.conv2,0.12806968091000967,0.7886114928937032,0.07037698127092053,0.04866308155750332,391
0,003_layer1.1.conv1,0.11416450113443957,0.4526059286575233,0.11298286205637292,0.07196810540930514,391
0,004_layer1.1.conv2,0.10953726960510454,0.49903606920590404,0.09557074460970914,0.061922024394895504,391
0,005_layer1.2.conv1,0.13895116760895665,1.4695264969618809,0.07263159798279577,0.04911247702768224,391
0,006_layer1.2.conv2,0.15562797911748613,2.525156237019208,0.08675088116141781,0.04729523295543535,391
0,007_layer1.3.conv1,0.16288524123279097,3.21310836360532,0.11527649314960649,0.060322659710322156,391
0,008_layer1.3.conv2,0.13643331495155353,2.014297262131663,0.05218273567686276,0.03613418115624996,391
0,009_layer1.4.conv1,0.13506296705073484,1.4751503343934325,0.06501839006785749,0.04897438049182747,391
0,010_layer1.4.conv2,0.11730173325625813,1.5509086234714808,0.05789373772967037,0.038481137723088164,391
0,011_layer1.5.conv1,0.13175292297140184,0.9582870869813228,0.08746594926083337,0.06287531279472632,391
0,012_layer1.5.conv2,0.1054478714824952,0.707269274172971,0.10182981097611034,0.05025624771796011,391
0,013_layer1.6.conv1,0.1175123555585742,2.5427458222421895,0.06407063335383935,0.042746605960078114,391
0,014_layer1.6.conv2,0.09461963041658725,1.0607552294413314,0.10169077393255861,0.07807338021577229,391
0,015_layer1.7.conv1,0.09606754006040842,1.334200120697724,0.07465272550465173,0.04660837570848303,391
0,016_layer1.7.conv2,0.06461361264723622,0.3688568436673186,0.07422969055775454,0.04954888863423015,391
0,017_layer1.8.conv1,0.04665658913750459,0.16234914857482308,0.05988241280330068,0.047521247872645306,391
0,018_layer1.8.conv2,0.053832952554821206,0.12756391002274342,0.07298751162578557,0.05817566165562199,391
0,019_layer2.0.conv1,0.055070111326173024,0.14215115641135942,0.05527091521607198,0.03948990760006248,391
0,020_layer2.0.conv2,0.07544909405719746,0.17091240488830364,0.06501270548852585,0.044814993476495445,391
0,021_layer2.1.conv1,0.09786563322288663,0.2567368539227336,0.06131603993924127,0.03965780922812136,391
0,022_layer2.1.conv2,0.08534312616650234,0.11232802856692242,0.06158149108806354,0.047844236166842524,391
0,023_layer2.2.conv1,0.08210951723325093,0.09849968768743146,0.05683027921202298,0.0391627941354924,391
0,024_layer2.2.conv2,0.07840176241096024,0.060733571549189055,0.05931882933824254,0.044790414804548165,391
0,025_layer2.3.conv1,0.05436565153493696,0.0437183352251839,0.057508983328203665,0.03834671484764099,391
0,026_layer2.3.conv2,0.062457144620668745,0.042854956929966874,0.09139100141092198,0.062132958757297234,391
0,027_layer2.4.conv1,0.05916370876232291,0.052203648474682535,0.05109678655731804,0.03899355989557386,391
0,028_layer2.4.conv2,0.061416637852116276,0.04571169380006869,0.09460149400229173,0.0640354390044302,391
0,029_layer2.5.conv1,0.06425152419794761,0.036551262673230396,0.06333033137067254,0.04890450462071228,391
0,030_layer2.5.conv2,0.06627197561980895,0.036921299474663424,0.08331159181150613,0.05240338885637191,391
0,031_layer2.6.conv1,0.054825101867723075,0.028037768887746315,0.07498424729899741,0.057945218412892734,391
0,032_layer2.6.conv2,0.061235521123280075,0.02853160468830323,0.06687032546005983,0.04907550343762105,391
0,033_layer2.7.conv1,0.06430901553781937,0.02201701443008483,0.05673741960767484,0.03881573246368811,391
0,034_layer2.7.conv2,0.06756345825293637,0.030820028267069755,0.0695956183562908,0.05047785088537805,391
0,035_layer2.8.conv1,0.060212636892886265,0.019150200387423565,0.07141496252309938,0.04472167935667248,391
0,036_layer2.8.conv2,0.0729504682997818,0.041193051522904034,0.07427429346208948,0.05493841740806938,391
0,037_layer3.0.conv1,0.07739722127299709,0.037770622449037866,0.05270220593603202,0.04121599271288321,391
0,038_layer3.0.conv2,0.09517134354947626,0.05783673857993082,0.041926458490260256,0.03682436361606388,391
0,039_layer3.1.conv1,0.07283143766696,0.027776289674545335,0.05465479712377128,0.03562221775697585,391
0,040_layer3.1.conv2,0.08560968023222273,0.04407483863933252,0.05987808025424795,0.04523418707907224,391
0,041_layer3.2.conv1,0.06576261740735234,0.024071551041658475,0.05938327333958679,0.04109997921605591,391
0,042_layer3.2.conv2,0.07670884600142612,0.05551214226977356,0.04905064299944109,0.03990834511190459,391
0,043_layer3.3.conv1,0.06529886709154605,0.028288516792171276,0.05626980410045264,0.04268403113290218,391
0,044_layer3.3.conv2,0.08171739219032857,0.05552721326433138,0.06808389401323992,0.04656067700144715,391
0,045_layer3.4.conv1,0.06550509287782795,0.021817190603880668,0.08165678599224895,0.054764914582816515,391
0,046_layer3.4.conv2,0.08213506719988325,0.0657041620615551,0.04408744078926275,0.03578541976024524,391
0,047_layer3.5.conv1,0.06305370298916917,0.03187066952311921,0.051863926404695886,0.03667791867323176,391
0,048_layer3.5.conv2,0.0859938326691899,0.06807554380609805,0.06328588567943315,0.04642462078033841,391
0,049_layer3.6.conv1,0.07721314714063922,0.029547416377534906,0.06603218991067641,0.046973610391932485,391
0,050_layer3.6.conv2,0.09753403147858808,0.07509818187632586,0.048959900182910035,0.0408187006786469,391
0,051_layer3.7.conv1,0.15273920107451852,0.036063409884172476,0.05183684942788919,0.04065128790118151,391
0,052_layer3.7.conv2,0.16663305503804512,0.06593438594829426,0.05790819591405653,0.047043607824883545,391
0,053_layer3.8.conv1,0.13449364043581669,0.03507681221970584,0.06510442497856368,0.04855230038297523,391
0,054_layer3.8.conv2,0.1579647583177175,0.06954016408483128,0.0645062747233383,0.05323283946996655,391
1,000_conv1,0.11135732598335998,0.00230359228552331,0.2013531772972411,0.1122888105465906,391
1,001_layer1.0.conv1,0.059015224263777054,0.0009272973711137861,0.08268270227449823,0.045061527934386995,391
1,002_layer1.0.conv2,0.043740566784177745,0.00020712811978286765,0.06435384214668156,0.042029602992751346,391
1,003_layer1.1.conv1,0.017316878482680337,3.131851587944665e-05,0.09624650760921781,0.06527191523497855,391
1,004_layer1.1.conv2,0.02107242696568408,3.8712425642801974e-05,0.08440047559800515,0.05565268696414236,391
1,005_layer1.2.conv1,0.01541401700967032,3.588175812673671e-05,0.05088781665192138,0.03762071917309645,391
1,006_layer1.2.conv2,0.026471797441182388,0.00016846485324736329,0.0940112912985127,0.05225625784981528,391
1,007_layer1.3.conv1,0.01851418798508318,7.631319868588437e-05,0.07508198059443265,0.04890124724978618,391
1,008_layer1.3.conv2,0.0140152527078929,2.3361076405442068e-05,0.04159875614984679,0.03140727216579432,391
1,009_layer1.4.conv1,0.017832905680531887,5.363290053607986e-05,0.07514689298411545,0.04837263218653196,391
1,010_layer1.4.conv2,0.030373126878153026,0.0002239919606273023,0.08458693856549095,0.04929218433262834,391
1,011_layer1.5.conv1,0.07534507985996164,0.0012957482782178353,0.0787315313612632,0.05702824191489921,391
1,012_layer1.5.conv2,0.047953595462090826,0.0004966412870161308,0.09887248942720206,0.049100879006222425,391
1,013_layer1.6.conv1,0.02230499118752301,8.901421630777822e-05,0.0711796996963021,0.046071292647238214,391
1,014_layer1.6.conv2,0.029042658538979187,0.00018010503531595877,0.06340423658498145,0.04392425051814172,391
1,015_layer1.7.conv1,0.01830301536937885,4.365204400353132e-05,0.06223575592519554,0.04461592821493186,391
1,016_layer1.7.conv2,0.0286549809019622,0.00023578159394461128,0.09571983574403098,0.05379824083158167,391
1,017_layer1.8.conv1,0.01938035488223938,3.994676855774784e-05,0.05558774067574869,0.03856845450931817,391
1,018_layer1.8.conv2,0.024651994685763897,4.872672286644316e-05,0.05369793646138958,0.0393604143671976,391
1,019_layer2.0.conv1,0.020256445554973523,2.254359186745731e-05,0.04417273779408253,0.03238921088392339,391
1,020_layer2.0.conv2,0.028679216826034477,8.384796186032247e-05,0.055803100792411235,0.03866762835308925,391
1,021_layer2.1.conv1,0.04212230550187171,0.00021895737685159906,0.047806869355982225,0.030806084836290666,391
1,022_layer2.1.conv2,0.05915590524768738,0.00038224535081918037,0.04971085579807113,0.03684906736078373,391
